bandwidth,n,tau,delta,probe,population,true_second_moment,centered_true_variance,conditional_mean,nonlinear_bias,design_bias,label_mc,control_variate_covariance,remainder_rms,nonlinear_ci_low,nonlinear_ci_high,design_ci_low,design_ci_high,control_variate_ci_low,control_variate_ci_high,true_second_ci_low,true_second_ci_high
0.7,256,0.02,1.0,2,1.850373730035156,2.1072960269975014,2.103652452611055,1.8472947819836412,-0.063556205935352,-0.0030789480515149782,0.323557450949213,1.7837385760482891,0.014890351936722007,-0.09102794247192132,-0.041013201994499524,-0.011059941114992778,0.004732402582205298,1.7544190766446734,1.8085494548905587,1.5358688943688599,2.7356216153264334
0.7,256,0.08,0.0,0,1.2962166340403238,1.6538317577231194,1.6704953908650655,1.2925429437559723,0.006996029889808086,-0.003673690284351647,0.35429278407733883,1.2995389736457803,0.0004102015397398366,0.003526354540541902,0.0119574314537519,-0.005468628063922155,-0.0018804157158759016,1.2951735200613754,1.3048423345598543,1.1860564846725017,2.207687694786508
0.7,256,0.08,0.0,1,0.2012576767529909,0.2953808464205586,0.2975416201080762,0.20029964610951587,0.0010215339271328848,-0.0009580306434750288,0.09405966638390989,0.20132118003664876,0.0004102015397398366,0.00046232882740458427,0.0018140501817694497,-0.0013686684942630753,-0.0005562033253370494,0.20057540800673865,0.20228022620543273,0.21898773059225754,0.38758046763508475
0.7,256,0.08,0.0,2,0.1846456393653955,0.21939732305396195,0.21916103295400194,0.1837221541739329,0.00062784019803153,-0.000923485191462598,0.0350473286819975,0.18434999437196442,0.0004102015397398366,0.000345365740459481,0.0009905848415738723,-0.0013632443592616022,-0.0004937897830348428,0.1837746269904173,0.18491465102999047,0.1594052396243209,0.28773773749609916
0.7,256,0.08,0.5,0,2.1577271150174275,2.7346951434613955,2.762255570146053,2.15147614253017,-0.007751698477715198,-0.0062509724872573625,0.5909706994089402,2.143724444052455,0.0005003586417329124,-0.012070477877431682,-0.004514845059443087,-0.008966371526072795,-0.0035706537177619246,2.1390959420659734,2.147703811390398,1.9635793646342898,3.64573059634311
0.7,256,0.08,0.5,1,0.3294188997506572,0.4806491765424571,0.48419599641342215,0.3279113075213854,-0.0013701644223067901,-0.0015075922292717937,0.15410803344337853,0.3265411430990786,0.0005003586417329124,-0.002279976183959182,-0.0007229006684615028,-0.002208514477134078,-0.0008268202174382059,0.32555174788200986,0.3274418827501137,0.35601501354419546,0.6305448244067035
0.7,256,0.08,0.5,2,0.3008033815454169,0.355829652841678,0.35547668059343834,0.29927911376887445,-0.0008742993574744393,-0.0015242677765424533,0.05742483843027797,0.2984048144114,0.0005003586417329124,-0.0013207552522566568,-0.0005227357239192718,-0.002275303130178737,-0.0007863273335827086,0.29757185335180775,0.299180504700321,0.25870653475784366,0.4660304299158774
0.7,256,0.08,1.0,0,3.619367855936947,4.539204242226022,4.584966289196634,3.60845510073665,-0.06564098042175953,-0.010912755200297228,0.9963901219111316,3.5428141203148895,0.002454835097287059,-0.10677784480028085,-0.03562013938170229,-0.014013785312331786,-0.00782020785245988,3.501993564415846,3.57250774283306,3.2703079249060503,6.03468967394515
0.7,256,0.08,1.0,1,0.5273889537979283,0.7627017801985404,0.7684575543378958,0.5252867282027137,-0.00982691534889478,-0.002102225595214601,0.24724196734472156,0.5154598128538189,0.002454835097287059,-0.01684714051807883,-0.004881498617659898,-0.0034391816069498783,-0.0007874397973937264,0.5085902702111296,0.5205849554915729,0.5667357607956536,1.0014147136568123
0.7,256,0.08,1.0,2,0.4748659525788333,0.5585113575915933,0.5580820881520921,0.4723906257950937,-0.006055059487999302,-0.0024753267837396313,0.09217579128449888,0.46633556630709444,0.002454835097287059,-0.009349754488172518,-0.0035723925172805237,-0.0039645210675594705,-0.0010614611351912513,0.46291145216390706,0.46922751498561605,0.40692506068951245,0.7317675072800568
